filename,category,label,split,asymmetry_score,edge_density,center_density,border_density,boundary_ratio,h_mean,h_std,s_mean,s_std,v_mean,v_std
01_02__exit_phone_room__YVGY8LOK_frame_0000.jpg,DeepFakeDetection,fake,train,0.8167701863354038,0.009606186224489796,0.00430484693877551,0.011373299319727892,2.641361730094896,32.23573022959184,34.83496582753147,97.87567761479592,51.88012262576029,121.02543048469387,41.796052776745185
01_02__exit_phone_room__YVGY8LOK_frame_0001.jpg,DeepFakeDetection,fake,train,0.779874213836478,0.013352997448979591,0.02112563775510204,0.010762117346938776,0.5094098489164347,24.79524075255102,29.83954896955895,95.50175382653062,47.54762940101468,128.41352439413265,41.049424128336554
01_02__exit_phone_room__YVGY8LOK_frame_0002.jpg,DeepFakeDetection,fake,train,0.8225806451612903,0.022500797193877552,0.03834502551020408,0.01721938775510204,0.4490527382171555,23.492964764030614,23.81592016244651,89.74926259566327,46.10817948494666,127.26652184311224,39.65450550879036
01_02__exit_phone_room__YVGY8LOK_frame_0003.jpg,DeepFakeDetection,fake,train,0.8480176211453745,0.01789700255102041,0.0274234693877551,0.014721513605442178,0.5368021308742355,22.826132015306122,21.866948762377653,91.69981664540816,46.044697965612094,123.73088727678571,36.82130981162932
01_02__exit_phone_room__YVGY8LOK_frame_0004.jpg,DeepFakeDetection,fake,train,0.8777120315581854,0.016621492346938774,0.026227678571428572,0.013419430272108844,0.5116319617690118,20.293207908163264,18.109869171062464,95.54434390943878,44.80408816684124,123.35959422831633,36.629934336165945
01_02__exit_phone_room__YVGY8LOK_frame_0005.jpg,DeepFakeDetection,fake,train,0.9054054054054054,0.01767777423469388,0.03125,0.013153698979591837,0.4209048983901903,21.392378826530614,20.228516947928064,94.18532764668367,47.08782841611261,122.71346859056122,37.26515899141907
01_02__exit_phone_room__YVGY8LOK_frame_0006.jpg,DeepFakeDetection,fake,train,0.890728476821192,0.021285076530612245,0.03324298469387755,0.017299107142857144,0.5203680395762867,19.211515465561224,16.457876247452187,97.72670200892857,43.61927382248802,123.37735172193878,38.18549097226256
01_02__exit_phone_room__YVGY8LOK_frame_0007.jpg,DeepFakeDetection,fake,train,0.9168539325842696,0.026646205357142856,0.03651147959183673,0.0233577806122449,0.6397204701886943,23.43130181760204,25.732546838279045,96.80821508290816,46.63094404873156,122.14279735331633,39.97456737339531
01_02__exit_phone_room__YVGY8LOK_frame_0008.jpg,DeepFakeDetection,fake,train,0.91005291005291,0.012496014030612245,0.020567602040816327,0.00980548469387755,0.4767210077972022,19.619140625,15.427220055772514,106.775390625,40.495371742708976,119.3485331632653,40.1150308211849
01_02__hugging_happy__YVGY8LOK_frame_0000.jpg,DeepFakeDetection,fake,train,0.9861751152073732,0.010821906887755101,0.008529974489795918,0.011585884353741497,1.3580962371414453,16.605389030612244,11.488881311510784,115.92340959821429,32.68447529827999,139.29514110331633,33.82173388553248
01_02__hugging_happy__YVGY8LOK_frame_0001.jpg,DeepFakeDetection,fake,train,0.9297709923664123,0.016761001275510203,0.034677933673469385,0.010788690476190476,0.3111021399266439,17.705038265306122,15.065741727070762,101.58785076530613,29.12474843936511,148.7868502869898,33.44973352997942
